cc_num,merchant,category,amt,first,last,gender,street,city,state,lat,long,city_pop,job,merch_lat,merch_long,is_fraud,distance,age,transaction_date,transaction_month,transaction_year,transaction_time,transaction_day,transaction_weekday,is_weekend,population_category,log_amt,amt_squared,transaction_count,average_transaction_amount,merchant_transaction_count,merchant_avg_amt,std_transaction_amount,is_senior,is_minor,amt_age_ratio,distance_amt_ratio,time_of_day,amt_per_merchant,monthly_spending,is_fraud_and_weekend,amt_variance,amt_diff_mean,total_transaction_amt,trans_year,trans_month,trans_day,trans_hour,trans_minute,trans_second,dob_year,dob_month,dob_day
4658610000000.0,fraud_Subramaniam-Goyal Pvt Ltd,online_shopping,8548.59,Divit,Tiwari,M,"07/547, Baral Chowk, Solapur-734676",Berhampur,Uttarakhand,-28.504785,142.859832,272800.0,"Engineer, mining",-28.507002,142.849712,0.0,1.019135888278857,37,2023-03-21,3,2023,11:41:00,21,1,0,small,9.05363860756464,73078390.9881,6,8548.59,6,8548.59,0.0,0,0,231.042972972973,0.0001192168402366,morning,8548.59,51291.54,0.0,0.0,0.0,51291.54,2023,3,21,11,41,0,1986,7,23
4041460000000.0,fraud_Agrawal Group Pvt Ltd,online_shopping,7012.15,Himmat,Basak,F,"H.No. 721, Johal Street, Gaya 138332",Shimla,Jharkhand,54.585347,-101.17161,924581.0,"Research officer, government",54.595492,-101.162374,1.0,1.2753993779687327,69,2022-10-20,10,2022,02:16:00,20,3,0,high,8.855542237157453,49170247.622499995,9,7012.15,9,7012.15,0.0,1,0,101.62536231884056,0.000181884212113,night,7012.15,63109.35,0.0,0.0,0.0,63109.35,2022,10,20,2,16,0,1954,7,14
4273900000000000.0,"fraud_Hora, Tella and Bawa Pvt Ltd",online_shopping,3294.28,Tejas,Soni,F,"728, Anne Road, Madhyamgram-169150",Shahjahanpur,Punjab,31.0135865,-134.108347,509899.0,Public relations account executive,31.002006,-134.121969,1.0,1.828547862902793,27,2023-03-21,3,2023,11:41:00,21,1,0,medium,8.100246420564487,10852280.718400002,20,5650.468,8,3294.28,1999.6427992850704,0,0,122.01037037037038,0.0005550675300529,morning,3294.28,26354.24,0.0,3998571.324732631,-2356.1879999999996,113009.36,2023,3,21,11,41,0,1996,7,27
3530110000000000.0,"fraud_Devan, Iyengar and Badami Pvt Ltd",online_shopping,3143.95,Shalv,Kata,F,"30/10, Mane Road, Faridabad 973707",Satna,Sikkim,-33.9620175,56.717792,32016.0,Chiropractor,-33.968053,-1.3032460932720078,0.0,1.4553428204862755,28,2022-06-12,6,2022,03:47:00,12,6,1,small,8.05355327075697,9884421.6025,24,3428.55303593947,9,3143.95,1044.1998944635093,0,0,112.28392857142856,0.0004629026608203,night,3143.95,28295.55,0.0,1090353.4195976038,-284.6030359394704,82285.27286254728,2022,6,12,3,47,0,1996,2,6
4791230000000000.0,"fraud_Date, Kurian and Sule Pvt Ltd",online_shopping,738.24,Miraan,Srivastava,F,"84/474, Baria Road, Adoni-525538",Davanagere,Tripura,20.6144135,-86.920922,520330.0,Financial risk analyst,20.600334,-86.902486,1.0,2.47646412838019,58,2024-02-11,2,2024,15:15:00,11,6,1,medium,6.605622631417556,544998.2976,6,738.2400000000001,6,738.2400000000001,0.0,0,0,12.728275862068966,0.0033545515393099,afternoon,738.2400000000001,4429.4400000000005,1.0,0.0,-1.1368683772161605e-13,4429.4400000000005,2024,2,11,15,15,0,1965,10,28
6589000000000000.0,fraud_Lalla PLC Pvt Ltd,online_shopping,5145.657143757881,Manjari,Wable,F,"95/664, Yadav Nagar, Firozabad 609374",Vijayawada,Rajasthan,17.607597,56.030088,642914.0,Event organiser,17.614347,56.039149,0.0,1.2188343486298292,30,2023-01-01,1,2023,04:18:00,1,6,1,medium,8.546102684602834,26477787.441106517,18,2992.3172225725093,829,5115.548867906304,1790.0856672003256,0,0,171.5219047919294,0.0002368666070393,night,5145.657143757881,36019.60000630517,0.0,3204406.6959160347,2153.339921185372,53861.71000630517,2023,1,1,4,18,0,1994,2,12
4.03735e+18,fraud_Vyas PLC Pvt Ltd,online_shopping,9100.38,Mannat,Devi,F,"22, Ram, Gwalior 983157",Meerut,Meghalaya,7.1295425,-146.110126,472068.0,Planning and development surveyor,7.114402,-146.124507,1.0,2.313466134353955,74,2023-10-01,10,2023,09:35:00,1,6,1,medium,9.11618132935914,82816916.14439999,11,6433.94,7,9100.38,3699.5353595661168,1,0,122.9781081081081,0.0002542164320999,morning,9100.38,63702.66,1.0,13686561.876679996,2666.4399999999996,70773.34,2023,10,1,9,35,0,1950,3,11
4578940000000.0,fraud_Bhattacharyya Group Pvt Ltd,fitness_and_medical,5392.94,Lakshay,Kothari,F,"20, Karpe, Gaya 631000",Kolhapur,Nagaland,3.0501575,33.654397,330174.0,Fashion designer,3.044092,33.646323,1.0,1.1218877127281317,47,2023-10-31,10,2023,10:44:00,31,1,0,medium,8.593031380167286,29083801.843599997,4,5392.94,4,5392.94,0.0,0,0,114.74340425531912,0.0002080289624449,morning,5392.94,21571.76,0.0,0.0,0.0,21571.76,2023,10,31,10,44,0,1977,1,12
30361400000000.0,"fraud_Mani, Bhatia and Bumb Pvt Ltd",travel,2426.69,Tejas,Vyas,M,"248, Mahajan Zila, Bidhannagar 268307",Giridih,Andhra Pradesh,82.5193815,-141.268386,446007.0,Medical sales representative,2.3017030783132526,-141.260374,1.0,1.4553428204862755,67,2023-03-21,3,2023,11:41:00,21,1,0,medium,7.79469546692748,5888824.3561,9,2426.69,9,2426.69,0.0,1,0,36.21925373134329,0.0005997234176949,morning,2426.69,21840.21,0.0,0.0,0.0,21840.21,2023,3,21,11,41,0,1956,9,22
180064000000000.0,"fraud_Taneja, Balan and Sekhon Pvt Ltd",travel,3888.05,Onkar,Basak,M,"H.No. 89, Karpe Nagar, Saharanpur-592992",Bhusawal,Assam,-19.9372285,131.641915,135573.0,Visual merchandiser,-19.952602,131.636402,1.0,1.8039679942310305,83,2023-04-03,4,2023,02:03:00,3,0,0,small,8.26592019084862,15116932.802500002,8,2663.3125,3,3888.0500000000006,1014.179001582068,1,0,46.84397590361446,0.0004639775708211,night,3888.0500000000006,11664.15,0.0,1028559.0472500002,1224.7375000000002,21306.5,2023,4,3,2,3,0,1940,7,11
372904000000000.0,fraud_Kota and Sons Pvt Ltd,online_shopping,5145.657143757881,Himmat,Kara,M,"49/85, De Ganj, Ambala-664208",Erode,Kerala,10.7406925,31.003317,571784.0,Haematologist,10.75259,30.985071,0.0,2.3923494845076547,74,2022-05-29,5,2022,00:05:00,29,6,1,medium,8.546102684602834,26477787.441106517,9,5145.657143757881,9,5145.657143757881,0.0,1,0,69.53590734807948,0.0004649259400055,night,5145.657143757881,46310.91429382093,0.0,0.0,0.0,46310.91429382093,2022,5,29,0,5,0,1950,3,11
3565340000000000.0,fraud_Wagle Group Pvt Ltd,entertainment,3733.34,Tarini,Kara,F,"00/319, Borde Path, Jehanabad 054076",Srikakulam,Tamil Nadu,-18.1778195,-141.917256,158242.0,Environmental health practitioner,-18.165183,-141.923319,1.0,1.5442325098498548,65,2022-07-09,7,2022,10:22:00,9,5,1,small,8.225326375125118,13937827.5556,9,3733.34,9,3733.34,0.0,1,0,57.436,0.0004136329693651,morning,3733.34,33600.06,1.0,0.0,4.547473508864641e-13,33600.06,2022,7,9,10,22,0,1959,1,22
180017000000000.0,fraud_Subramaniam and Sons Pvt Ltd,entertainment,9597.87,Misha,Raja,F,"H.No. 71, Setty Marg, Dindigul-806397",Varanasi,Nagaland,-27.319004,19.733282,251412.0,"Production assistant, television",-27.311045,19.741093,1.0,1.1741993050769477,24,2023-02-19,2,2023,13:12:00,19,6,1,small,9.169400662194423,92119108.5369,15,8883.87,10,9597.87,1045.1889781278796,0,0,399.91125000000005,0.0001223395717046,afternoon,9597.87,95978.7,1.0,1092420.0000000012,714.0,133258.05000000002,2023,2,19,13,12,0,1999,9,27
3513050000000000.0,fraud_Kothari and Sons Pvt Ltd,fitness_and_medical,7807.44,Aaina,Raja,F,"73/38, Malhotra Ganj, Khandwa 786020",Bhavnagar,Assam,-82.054301,-148.23775,359270.0,Manufacturing engineer,2.3017030783132526,-148.249696,1.0,1.4553428204862755,31,2023-04-24,4,2023,00:54:00,24,0,0,medium,8.962960478964204,60956119.353599995,7,7807.44,7,7807.44,0.0,0,0,251.85290322580644,0.000186404611561,night,7807.44,54652.079999999994,0.0,0.0,0.0,54652.079999999994,2023,4,24,0,54,0,1993,3,11
2660430000000000.0,"fraud_Salvi, Singh and Devi Pvt Ltd",fitness_and_medical,7355.21,Ritvik,Mandal,M,"15, Joshi Marg, Hapur-134910",Dharmavaram,Punjab,76.3894615,-153.502534,645936.0,Contracting civil engineer,76.399412,-153.492279,0.0,1.1384964103469617,19,2022-12-03,12,2022,14:19:00,3,5,1,medium,8.903300133440702,54099114.1441,6,7355.21,6,7355.21,0.0,0,0,387.1163157894737,0.0001547877504988,afternoon,7355.21,44131.26,0.0,0.0,0.0,44131.26,2022,12,3,14,19,0,2005,5,29
4.73782e+18,fraud_Lalla PLC Pvt Ltd,online_shopping,5145.657143757881,Piya,Shenoy,F,"76/44, Vyas Chowk, Jaunpur-786261",Berhampore,Andhra Pradesh,59.738024,-7.101207,483362.0,Mudlogger,59.723184,-1.3032460932720078,0.0,1.4553428204862755,71,2023-05-22,5,2023,03:26:00,22,0,0,medium,8.546102684602834,26477787.441106517,10,4916.661715006305,829,5115.548867906304,482.76475241452647,1,0,72.47404427828002,0.0002828293412925,night,5145.657143757881,41165.25715006305,0.0,233061.80617385905,228.99542875157655,49166.61715006305,2023,5,22,3,26,0,1953,3,20
4.60380110233571e+17,fraud_Kade and Sons Pvt Ltd,online_shopping,4346.33,Dishani,Sanghvi,M,"84/74, Sibal Ganj, Ambattur 304534",Aurangabad,Mizoram,1.9229408226670872,-26.465376,276638.0,Adult guidance worker,24.399995,-1.3032460932720078,0.0,1.4553428204862755,36,2022-05-23,5,2022,02:28:00,23,0,0,small,8.377317142531178,18890584.4689,30,5233.459,7,4346.33,2900.6524014926663,0,0,120.73138888888889,0.0003348440685558,night,4346.33,30424.31,0.0,8413784.354285173,-887.1289999999999,157003.77,2022,5,23,2,28,0,1987,12,5
4.67983e+18,fraud_Kashyap LLC Pvt Ltd,travel,4471.39,Yasmin,Sule,F,"616, Devan Chowk, Sambalpur 429465",Panipat,Punjab,-9.74096,107.373106,506760.0,Television floor manager,-9.7463,107.370893,1.0,0.641400036679929,77,2022-07-30,7,2022,11:57:00,30,5,1,medium,8.405678220334751,19993328.532100003,8,4471.39,8,4471.39,0.0,1,0,58.07000000000001,0.0001434453350479,morning,4471.39,35771.12,1.0,0.0,0.0,35771.12,2022,7,30,11,57,0,1947,1,16
5463360000000000.0,fraud_Biswas PLC Pvt Ltd,fitness_and_medical,3252.89,Fateh,Dhillon,M,"99/77, Sankaran Road, Purnia 474575",Jorhat,Andhra Pradesh,-38.7391745,153.191822,79590.0,Dietitian,-38.754684,153.181903,0.0,1.9272053456665736,80,2023-03-21,3,2023,11:41:00,21,1,0,small,8.087606482659348,10581293.3521,4,3252.89,4,3252.89,0.0,1,0,40.661125,0.000592459427053,morning,3252.89,13011.56,0.0,0.0,0.0,13011.56,2023,3,21,11,41,0,1943,11,9
